Search Results (24 Results),,,,,,,,,,,
,,,,,,,,,Timestamp,6:00 AM,15th morning
Issuer,Currency,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask,Close,,,
"Canada, Government of...",CAD,4.00%,3.19%,Aaa,08/03/2026,101.2,101.31,101.32,,,
"Canada, Government of...",CAD,3.25%,3.22%,Aaa,11/01/2026,-,-,100.13,,,
"Canada, Government of...",CAD,1.50%,3.11%,Aaa,06/01/2026,97.85,97.88,97.92,,,
"Canada, Government of...",CAD,0.50%,3.18%,Aaa,09/01/2025,98.34,98.36,98.36,,,
"Canada, Government of...",CAD,3.00%,3.17%,Aaa,04/01/2026,99.77,99.85,99.85,,,
"Canada, Government of...",CAD,4.50%,3.17%,Aaa,02/01/2026,101.34,101.38,101.39,,,
"Canada, Government of...",CAD,8.00%,3.07%,Aaa,06/01/2027,111.01,111.28,111.33,,,
"Canada, Government of...",CAD,3.25%,3.06%,Aaa,8/24/2027,100.46,100.56,100.41,,,
"Canada, Government of...",CAD,1.50%,3.26%,Aaa,04/01/2025,99.62,99.64,99.64,,,
"Canada, Government of...",CAD,4.50%,3.19%,Aaa,11/01/2025,100.97,101.08,101.06,,,
"Canada, Government of...",CAD,2.25%,3.23%,Aaa,06/01/2025,99.64,99.66,99.64,,,
"Canada, Government of...",CAD,0.25%,3.20%,Aaa,03/01/2026,96.8,96.82,96.91,,,
"Canada, Government of...",CAD,1.00%,3.10%,Aaa,09/01/2026,96.7,96.72,96.77,,,
"Canada, Government of...",CAD,3.75%,-,Aaa,02/01/2025,100.02,100.04,100.02,,,
"Canada, Government of...",CAD,3.00%,3.20%,Aaa,10/01/2025,99.83,99.91,99.88,,,
"Canada, Government of...",CAD,3.00%,3.17%,Aaa,02/01/2027,99.6,99.83,99.81,,,
"Canada, Government of...",CAD,1.00%,3.06%,Aaa,06/01/2027,95.33,95.36,95.44,,,
"Canada, Government of...",CAD,3.75%,3.22%,Aaa,05/01/2025,100.12,100.2,100.16,,,
"Canada, Government of...",CAD,1.25%,3.48%,Aaa,03/01/2025,99.73,99.75,99.73,,,
"Canada, Government of...",CAD,2.75%,3.14%,Aaa,09/01/2027,98.97,99.09,99.13,,,
"Canada, Government of...",CAD,3.25%,3.22%,Aaa,11/01/2026,-,-,100.13,,,
"Canada, Government of...",CAD,3.00%,3.17%,Aaa,02/01/2027,99.6,99.83,99.81,,,
"Canada, Government of...",CAD,9.00%,3.17%,Aaa,06/01/2025,102.13,102.23,102.16,,,
"Canada, Government of...",CAD,8.00%,3.07%,Aaa,06/01/2027,111.01,111.28,111.33,,,
